序号,景点名称,地区,评分,评级,地址,评语,价格,销量,省市自治区
684,天津滨海文化中心,天津·天津·滨海新区,0,\N,天津市滨海新区中央大道中心商务区天碱解放路旭升路347号,天津滨海文化中心,0,0,天津市
685,大唐湿地乐园,天津·天津·宝坻区,0,\N,天津市宝坻区大唐庄镇东淀村景观大道2号,舒适自然、恬静优美的休闲园区,0,0,天津市
686,玉佛禅寺,天津·天津·西青区,0,3A景区,天津市西青区辛口镇当城村南,翠柏苍松，枝叶茂密，晨钟暮鼓，佛光普照,0,0,天津市
687,津北森林公园,天津·天津·武清区,0,\N,天津市武清区武香线,津北森林公园位于武清下伍旗镇，是华北地区面积较大的人工森林公园，也是一座以森林环境为主体、集度假休闲于一体的生态公园，占,0,0,天津市
688,估衣街,天津·天津·红桥区,0,3A景区,天津市红桥区估衣街,一条有600余年历史的古老的商业街,0,0,天津市
689,荐福观音寺,天津·天津·河东区,0,3A景区,天津市河东区大直沽中路27号,荐福观音寺位于天津市河东区大直沽，津塘公路于大直沽中路交口处，占地面积5000多平方米。大直沽是天津的发祥地，历史上有3,0,0,天津市
690,津南农业科技园,天津·天津·津南区,0.7,3A景区,天津市津南区八里台镇津港公路,适合农作物生长以及开展绿色食品的生产,0,0,天津市
691,天津西岸艺术馆,天津·天津·河西区,0,\N,天津市河西区友谊北路3号,哥特风情艺术馆,0,0,天津市
692,未来科技城,天津·天津·滨海新区,0,\N,天津市滨海新区滨海科技园高新六路111号（渤龙湖畔）,高技术产业基地,0,0,天津市
693,天津塘沽万丽泰达精品艺术剧场,天津·天津·塘沽区,0,\N,天津经济技术开发区第二大街29号,只演精品的剧场,0,0,天津市
694,白塔,天津·天津·蓟县,0,\N,天津市蓟县城西南隅独乐寺正南300米处,位于蓟县城西南隅、独乐寺正南300米处，始建于辽清宁四年（1058年），明清两代均有重修。该塔下部为密檐塔型，上部砌作覆,0,0,天津市
695,东丽湖天海风湖边烧烤,天津·天津·东丽区,0,\N,天津市东丽区东丽湖万科城天海风俱乐部,摆上扫烤架，听着音乐，席地而坐,0,0,天津市
696,北大岭汉代古文化遗址,天津·天津·宁河县,0.7,\N,天津市宁河县芦台镇,夹嫠红陶醉、瓮、缸、釜、夹嫠灰陶瓮残片,0,0,天津市
697,意库创意园,天津·天津·红桥区,0,\N,天津市红桥区湘潭道11号（与红旗路交口处）,年轻人的梦想园,0,0,天津市
698,安然纳米汗蒸养生馆（河西区）,天津·天津·河西区,0,\N,天津市河西区永安道罗马花园2期甲座2-201号,掀起21世纪“体内洗澡”革命,0,0,天津市
699,台湾造纸龙手创馆,天津·天津·河西区,0,\N,天津市河西区乐园道阳光乐园彩悦城一楼,让更多的民众可以一起来此体验纸艺乐趣,0,0,天津市
700,蓟州文庙,天津·天津·蓟县,0,\N,天津市蓟县城区鼓楼北蓟州文庙,历史和文化积淀构筑这座历史文化名城,0,0,天津市
701,天津国展中心,天津·天津·河西区,0,\N,天津市河西区友谊路32号,天津举办各类大中型展览的主要场所,0,0,天津市
702,赛得?金角农业生态园,天津·天津·西青区,0,\N,天津市西青区大寺镇青凝侯村北侧赛达大道,繁忙都市里忙碌一周，到郊外呼吸新鲜空气,0,0,天津市
703,天津和润福德庄园,天津·天津·武清区,0,\N,天津市武清区大孟庄镇后幼庄村,到了这里，您犹如置身于天然氧吧之中,0,0,天津市
704,柳林风景区,天津·天津·河西区,0.7,\N,天津市河西区柳林路,展示现代流行艺术为特点的艺术公园,0,0,天津市
705,龙门密室,天津·天津·红桥区,0,\N,天津市红桥区丁字沽一号路新基业大厦B座1602室（红桥凯莱赛楼上）,逃脱过程充满了刺激性和不确定性,0,0,天津市
871,京东石林峡,北京·北京·平谷区,0.7,4A景区,北京市平谷区黄松峪乡雕窝村73号,谷内山峰挺立峭拔，天上美景落人间,58,6583,北京市
880,北京刘老根大舞台,北京·北京·东城区,0,\N,北京市东城区前门东路小江胡同34至36号阳平会馆近前门大街,《欢乐喜剧人》现场版,380,34,北京市
881,鸟巢CAIA北京会展中心,北京·北京·朝阳区,0,\N,北京市朝阳区国家体育场南路一号CAIA北京会展中心,高科技带来的别样观感,50,6,北京市
882,中国紫檀博物馆,北京·北京·朝阳区,0.7,4A景区,北京市朝阳区建国路23号,博物馆本身就是一件壮观珍贵的工艺品,39,44,北京市
883,紫竹院公园,北京·北京·海淀区,0.72,4A景区,北京市海淀区中关村南大街35号,以竹取胜，深富江林特色，翠竿累万,0.4,32,北京市
884,观复古典艺术博物馆,北京·北京·朝阳区,0.7,\N,北京市朝阳区大山子张万坟金南路18号,为公益性独立法人，接受社会各界的捐赠,88,98,北京市
885,北京活的3D博物馆,北京·北京·朝阳区,0,\N,朝阳区酒仙桥路4号798艺术区751D-PARKC座C12,来，茄子,45,240,北京市
886,太平洋海底世界,北京·北京·海淀区,0.7,3A景区,北京市海淀区西三环中路11号中央电视塔下,漫步海底，欣赏五彩缤纷的海底生物,78.01,270,北京市
887,奥林匹克森林公园,北京·北京·奥林匹克公园,0,\N,北京市朝阳区安立路奥林匹克公园内,山环水绕的东方特色园林景观,138,44,北京市
888,十渡天河谷,北京·北京·腾龙仙苑旅游度假风景区,0,\N,北京市房山区十渡镇西庄村“民俗风情苑”旅游度假风景区内,拥有十渡誓言玻璃栈道和高山滑水的完美结合,89,24,北京市
889,北京园博园,北京·北京·丰台区,0,\N,北京市丰台区永定河畔,以园林为主题的博物馆,18,852,北京市
891,北京乐高探索中心,北京·北京·朝阳区,0,\N,京市朝阳区常通路1号院1号楼-2至5层101内三层3F-Z3,寓乐于教,180,56,北京市
892,古北水镇天然温泉,北京·北京·古北水镇,0,\N,北京市密云县古北口镇司马台村古北水镇内,水镇内河道密布，古老的汤河支流萦绕其间,140,22,北京市
893,鸟巢北京会展中心3D美术馆,北京·北京·鸟巢,0,\N,北京朝阳国家体育场南路一号CAIA北京会展中心,享受视觉冲击同时，挑战您的想象力与创造力,50,6,北京市
943,林节战国古文化遗址,天津·天津·宁河县,0.7,\N,天津市宁和县芦台镇北15公理,位于宁河镇压林庄村东南500米处，时代为战国――汉代。1977年发现，面积为22.5万平方米，文化层深为0.25至0.4,0,0,天津市
944,天成寺舍利塔,天津·天津·蓟县,0.7,\N,天津市蓟县盘山莲花岭北的翠屏山下,与天成寺、翠屏峰交相辉映,0,0,天津市
945,星辉国际影城,天津·天津·南开区,0,\N,南开区白堤路168号世通大厦3楼(近鞍山西道),视听效果震撼，给观众带来出色的观影体验,0,0,天津市
946,田庄坨战国文化遗址,天津·天津·宁河县,0,\N,天津市宁河县板桥乡田庄坨村西南侧,当时为战国――汉代居住遗址和墓葬地,0,0,天津市
947,江南领世郡高尔夫球会,天津·天津·津南区,0,\N,天津市外环线17号桥(津港桥)东2公里处,拥有江南水乡特色的球场,0,0,天津市
948,天津青少年活动中心,天津·天津·河西区,0,\N,天津市河西区昌隆路2号（科技馆旁）,天津青少年活动中心成立于1985年，由全市人民共同集资建设而成。在团市委的领导下，经过二十多年的滚动发展。2003年，活,0,0,天津市
949,海贝儿儿童游乐场,天津·天津·滨海新区,0,\N,天津市滨海新区第一大街开心购物广场三楼（轻轨市民广场站）,让孩子玩得开心，玩得痛快,0,0,天津市
950,河西公园,天津·天津·河西区,0.7,\N,天津市滨海新区一经路,文化休息、植物观赏区，儿童活动区,0,0,天津市
952,移兴寺,天津·天津·静海县,0,\N,天津市静海县陈官屯镇曹村,建筑恢宏，气势雄伟，为静海旧时一大景观,0,0,天津市
953,爱妮岛儿童主题公园,天津·天津·南开区,0,\N,天津市南开区南马路天佑城3楼301,全面满足家庭从儿童到成年人综合生活需求,0,0,天津市
954,二次元真人版密室桌游吧,天津·天津·南开区,0,\N,天津市南开区南城街九州国际七号楼1404,一批适合年轻人新年玩耍的潮流新去处,0,0,天津市
955,蓟洲国际温泉,天津·天津·蓟县,0,\N,天津市蓟县罗庄子镇洪水庄村村西,四面环山，环境优美的度假村,0,0,天津市
956,天津市动物园,天津·天津·南开区,0,\N,天津市南开区水上公园南端,树木葱茂，碧草连茵，天水一色,0,0,天津市
957,西双塘兴龙温泉生态城,天津·天津·静海县,0,\N,天津市静海县西双塘东五台寺向南300米(近西双塘行政中心),室内度假的新去处,0,0,天津市
1246,佛罗伦萨小镇,天津·天津·武清区,0,\N,天津市武清区前进道翠亨路口(武清城际站对面）,集购物、休闲、度假于一体的休闲文化中心,0,0,天津市
1247,天津海滨旅游度假区,天津·天津·滨海新区,0.7,\N,天津市滨海新区海滨大道,看日出、浴温泉、观海听涛,0,0,天津市
1248,Mr.Q真人密室逃脱,天津·天津·南开区,0,\N,天津市南开区南门外大街世纪花园5号楼2门302室,4大主题密室不同类型、不同难度,0,0,天津市
1249,X街区天津羊羊3D庙会主题馆,天津·天津·南开区,0,\N,天津市东马路与南马路交口九策城市广场二层,喜气洋洋的3D庙会,0,0,天津市
1250,天津大港体育馆,天津·天津·滨海新区,0,\N,天津市大港区世纪大道179号,国际体育竞赛标准体育馆,0,0,天津市
1251,格格府,天津·天津·和平区,0,\N,天津市和平区泰安道7号,典型的晚清时期天津风貌民宅建筑,0,0,天津市
1252,佳映国际影城,天津·天津·和平区,0,\N,天津和平区滨江道300号858城市广场六楼,超五星级豪华影城,0,0,天津市
1253,天津文庙,天津·天津·南开区,0.72,\N,天津市南开区东马路东门里2号,天津市区保存较完整的大型明清建筑群,0,0,天津市
1254,创意桥园,天津·天津·河东区,0,3A景区,天津市河东区天山路与盘山道交口,公园面积400亩，其中生态水域面积近200亩，种植各类植物60余种，容积率不到0.04，具有无可比拟的生态优势。创意桥园,0,0,天津市
1255,天津市众博达彩弹射击场,天津·天津·东丽区,0,\N,天津市东丽区东丽国防教育基地院内,以推广军事文化为主题的俱乐部,0,0,天津市
1256,松江乡村休闲旅游区,天津·天津·津南区,0,4A景区,天津市津南区八里台镇国家农业科技园区内,松江乡村俱乐部是集旅游观光、休闲娱乐、住宿餐饮于一体的高档豪华的商务会所。拥有全国首家西班牙风格的国际马会、景观垂钓、珍,0,0,天津市
1257,做吧DIY银饰手工坊,天津·天津·和平区,0,\N,天津市和平区卫津路佳怡国际D座3门1107,纯银手工DIY为心爱的人制作一个惊喜,0,0,天津市
1258,东方公主号游轮,天津·天津·滨海新区,0.72,\N,天津市滨海新区海河外滩公园海门大桥旁,集观光娱乐、休闲餐饮于一体的多功能游轮,0,0,天津市
1259,天津老城小梨园,天津·天津·南开区,0,\N,天津市南开区鼓楼东街202号天津市老城博物馆内（城厢中路东门内大街口）,享受完美的视听盛宴，品味独特的艺术魅力,0,0,天津市
1260,天津温泉水上乐园,天津·天津·西青区,0,\N,天津市西青区杨柳青镇胜利东路,以健康养生为特色，集旅游、休闲于一体,0,0,天津市
1261,东方明珠,上海·上海·浦东新区,0.76,5A景区,上海市浦东新区世纪大道1号,感受云端漫步，品味老上海风情,88,5535,上海市
1262,上海杜莎夫人蜡像馆,上海·上海·黄浦区,0.74,4A景区,上海市黄浦区南京西路2-68号新世界商厦10楼,走自己的红毯，与世界明星相遇,130,4022,上海市
1263,上海迪士尼乐园,上海·上海·浦东新区,0,\N,上海市浦东新区川沙新镇上海迪士尼度假区内,去哪儿付款码迪士尼园区内满120减50,570,55113,上海市
1264,上海野生动物园,上海·上海·浦东新区,0.72,5A景区,上海市浦东新区南六公路178号,与野生动物近距离的“亲密接触”,118,7312,上海市
1265,上海科技馆,上海·上海·浦东新区,0.74,5A景区,上海市浦东新区世纪大道2000号(近二号线上海科技馆站),技术改变生活，只有想不到没有做不到,51,3657,上海市
1266,上海海湾国家森林公园,上海·上海·奉贤区,0,4A景区,上海市奉贤区海湾镇随塘河路1677号,近似自然形态的人工森林,62.8,442,上海市
1267,外滩,上海·上海·黄浦区,1,\N,上海市黄浦区中山东一路（北至外白渡桥、南至十六铺码头）,感受上海十里洋场的风景,60,926,上海市
1268,黄浦江游览（十六铺码头）,上海·上海·黄浦区,0,\N,上海市黄浦区中山东二路481号B1层（十六铺码头一区）,夜游黄浦江，霓虹交错，赏魔都繁华景象,88,7725,上海市
1269,上海欢乐谷,上海·上海·松江区,0.72,4A景区,上海市松江区佘山镇林湖路888号,游乐项目惊险刺激，特色表演异彩纷呈,220,4166,上海市
1270,金茂大厦88层观光厅,上海·上海·浦东新区,0.76,4A景区,上海市浦东新区浦东世纪大道88号观光厅,上海就在脚下,62,1148,上海市
1271,上海中心大厦,上海·上海·浦东新区,0,\N,上海市浦东新区陆家嘴环路479号（近东泰路）,超高层地标式摩天大楼,140,3380,上海市
1272,外滩观光隧道,上海·上海·黄浦区,0.7,\N,上海市黄浦区中山东一路349号（陈毅广场向北70米）,具有迷幻色彩的魅力隧道,268,554,上海市
1273,城隍庙旅游区,上海·上海·黄浦区,0,\N,上海市黄浦区人民路、河南南路、上海老街、以及安仁路之间的区域,全面地领略到上海的历史文化和民俗风情,128,708,上海市
1274,迪士尼小镇,上海·上海·浦东新区,0,\N,上海市浦东新区迪士尼小镇申迪西路255弄,迪士尼大型购物餐饮娱乐区,319,418,上海市
1275,上海博物馆,上海·上海·黄浦区,0.76,4A景区,上海市黄浦区人民大道201号,大型中国古代艺术博物馆，国内外享有盛誉,6,380,上海市
1276,运河苑温泉水世界,北京·北京·通州区,0,\N,北京市通州区宋庄镇白庙村,泡温泉？不用走远,158,214,北京市
1277,美人鱼温泉宫,北京·北京·九华山庄,0,\N,北京市昌平区小汤山镇九华山庄内,休闲度假，养生疗养好去处,75,6,北京市
1279,房山世界地质公园,北京·北京·房山区,0.7,\N,北京市房山区,绵延百里、蜿蜒曲折、绝壁千仞,36,39,北京市
1280,仙栖洞,北京·北京·房山区,0.7,3A景区,北京市房山区张坊镇东关上村,洞内恒温，支洞遍布，暗河无源,40.5,878,北京市
1283,西山国家森林公园,北京·北京·海淀区,0.72,\N,北京市海淀区香山南路和闵庄路交汇处向西300米,真正有山有水的森林公园,9,138,北京市
1284,蓝调国际马术俱乐部,北京·北京·朝阳区,0,\N,北京市朝阳区东苇路金盏楼梓庄南,满足您风雨无阻的马术热情,9.9,4,北京市
1286,段家大院精品温泉酒店,北京·北京·古北水镇,0,\N,密云区古北口镇司马台村古北水镇旅游度假区内近司马台长城,泡长城脚下温泉——段家大院温泉,80,18,北京市
1298,北京奇葩减压馆--36项奇葩体验,北京·北京·东城区,0,\N,北京东城区崇文门外大街18号国瑞购物中心LG层(物美超市旁),几十种减压神器神操作,58,14,北京市
1299,798探洞中心,北京·北京·朝阳区,0,\N,北京市朝阳区酒仙桥路2号798艺术区内巴林艺术中心奇异馆探洞中心,798探洞中心是孩子们的冒险启蒙中心,78,8,北京市
1300,游娱联盟-疯狂的麦咭,北京·北京,0,\N,朝阳高碑店路游娱联盟内(王四营乡政府对面),体验偶像同款密室,138,8,北京市
1301,松美术馆,北京·北京·顺义区,0,\N,北京市顺义区天竺镇楼台村南格拉斯路,一座极具包容力和承载力的“艺术容器”,160,16,北京市
1302,人间花海,北京·北京·密云县,0,\N,北京市密云县车道峪村,一场紫色的邂逅，花海如烟的人间美景,49.9,30,北京市
1303,《绿野仙踪》沉浸式新媒体艺术剧,北京·北京·798艺术区,0,\N,北京市朝阳区酒仙桥路4号798艺术区,给你前所未有的多重感官体验,78,10,北京市
1304,in KIDS with LINE FRIENDS乐园,北京·北京·朝阳区,0,\N,北京市朝阳建外大街2号北京银泰中心in01三层西侧,来自韩国的高端卡通主题乐园,388,6,北京市
1305,北京龙湾国际露营公园,北京·北京·延庆县,0,\N,北京市延庆县旧县镇东龙湾村南200米,白雪却嫌春色晚，故穿庭树作飞花,22,14,北京市
1321,朱家角城隍庙,上海·上海·朱家角古镇,0.72,\N,上海市青浦区朱家角镇曹河路与美周路路口,观城隍庙十二胜景，忆往事梦影,48,6,上海市
1322,上海顾村恐龙园,上海·上海·宝山区,0,\N,上海市宝山区顾村镇沪太路4788号,3D视觉体验馆，与恐龙共舞,50,26,上海市
1323,云翔寺,上海·上海·嘉定区,0,\N,上海市嘉定区南翔镇解放街263号,体会宗教神韵，陶冶情操，净化心灵,30,4,上海市
1324,上海大自然野生昆虫馆,上海·上海·浦东新区,0.7,\N,上海市浦东新区陆家嘴丰和路1号（东方明珠旁）,探索昆虫实际，感受到大自然的神奇魅力,69,66,上海市
1325,锦江乐园,上海·上海·闵行区,0.72,4A景区,上海市闵行区虹梅路201号,不仅是孩子的乐园，更是成人的梦工厂,123,150,上海市
1326,檀园,上海·上海·嘉定区,0,\N,上海市嘉定区南翔镇混堂弄5号檀园（南翔老街内）,咫尺山林，多方胜景,13,20,上海市
1327,多乐岛蹦床公园,上海·上海·宝山区,0,\N,上海宝山区殷高路65号4楼,多乐岛蹦床公园是中国首家蹦床主题公园,60,18,上海市
1328,泰晤士小镇,上海·上海·松江区,0,\N,上海市松江区三新北路900弄,想去英国小镇？不用走远,60,88,上海市
1329,枫泾古镇,上海·上海·金山区,0.72,4A景区,上海市金山区枫泾镇亭枫公路8588弄28号,历史悠久，水网遍布，河道纵横，引人注目,35,62,上海市
1330,金山城市沙滩,上海·上海·金山区,0.7,4A景区,上海市金山区石化镇海滨(沪杭公路7741号),水质清澈见底，天然潜水点,9,184,上海市
1331,顾村公园,上海·上海·宝山区,0,\N,上海市宝山区顾村镇沪太路4788号环岛路1号（近沪太路）,一轴、一带、三区、七园,66,106,上海市
1332,上海人民公园,上海·上海·黄浦区,0.7,\N,中国上海黄浦区南京西路南、西藏中路,上海人民公园闹中取静，别有一番风光,175,10,上海市
1333,上海名人蜡像馆,上海·上海·嘉定区,0,\N,上海市嘉定区博园路5205号,近距离接触蜡像的制作和亲自动手制作蜡像,80,4,上海市
1334,上海世茂精灵之城主题乐园（深坑秘境）,上海·上海·松江区,0,\N,上海市松江区辰花路5088弄,古老神秘的峡谷丛林，翱翔天际的上古异兽,110,540,上海市
1335,上海风电科普馆,上海·上海·浦东新区,0,\N,上海市浦东新区南汇东大路5366号,保护环境，从关注风电能源开始,10,81,上海市
1336,东丽湖天海风快艇,天津·天津·东丽区,0,\N,天津市东丽区东丽湖万科城天海风俱乐部,快艇游湖是刺激与休闲为一体的亲水性项目,0,0,天津市
1337,曹禺剧场,天津·天津·河北区,0,\N,天津市河北区民主道25号,曹禺话剧作品的表演场所,0,0,天津市
1338,滨海湖高尔夫球会,天津·天津·滨海新区,0,\N,天津市滨海新区塘黄路13829号塘黄分离式桥北侧,典型的林克斯球场,0,0,天津市
1339,劲松园,天津·天津·蓟县,0.7,\N,天津市蓟县北部的长城脚下,以浓郁的松文化而闻名遐迩,0,0,天津市
1340,国际温泉高尔夫俱乐部,天津·天津·河北区,0,\N,天津空港物流加工区中心大道西五道,突破自然，构造完美球场造型，颇具挑战性,0,0,天津市
1341,天鹅湖高尔夫俱乐部,天津·天津·武清区,0,\N,天津市武清开发区福源道20号。,是北方地区仅有的水上浮球练习场,0,0,天津市
1342,天津滨海国际会展中心,天津·天津·滨海新区,0,\N,天津经济技术开发区第五大街天津滨海国际会展中心,各类展会活动的举办场地,0,0,天津市
1343,天津旅游景区电子门票一卡通,天津·天津,0,\N,中国天津市,“有卡任性”,0,0,天津市
1344,华夏未来国粹苑,天津·天津·河西区,0,\N,天津市河西区环湖中道3号华夏未来B座5层,国粹苑精品项目以中国传统文化为核心，以国粹精神为根本。坚持寓教于乐的教育方式，让孩子们在活动中领略中国古老而悠久的文化。,0,0,天津市
1345,奥飞欢乐王国,天津·天津·河东区,0,\N,天津市河东区光华路2号（二宫新城市广场内）,去孩子的世界狂欢吧,0,0,天津市
1346,红谷军事体验基地,天津·天津·蓟县,0,\N,天津蓟县县城城北津围公路7公里处西面3公里处的红色旅游区内,红谷基地户外核心场地占地6亩，拥有特色主题镭战场地以及附属生存游戏、狩猎、打靶场地。位于蓟县县城城北津围公路7公里处西面,0,0,天津市
1347,艾丽斯冰雪嘉年华,天津·天津·河东区,0,\N,天津市河东区光华路2号新城市广场内(二宫体育场旁),雪道多样化，让你感受不同的刺激,0,0,天津市
1348,天津中华剧院,天津·天津·河西区,0,\N,天津市河西区平江道与隆昌路交口,国内迄今少有的以上演京剧为主的剧场,0,0,天津市
1349,滨海世纪广场,天津·天津·滨海新区,0.7,\N,天津市滨海新区解放路,”。其壮观、瑰丽的英姿，令人叹为观止。位于塘沽中心区的滨海世纪广场，面积达二万四千平方米。广场上矗立着二十一棵直径一点三,0,0,天津市
1350,阿罗马高尔夫俱乐部,天津·天津·大港区,0,\N,天津市大港区港塘公路西侧官港森林公园绿化基地,依林傍水，风景宜人，水天一色，淳朴自然,0,0,天津市
1351,钟鼓楼,北京·北京·白云观,0.7,\N,北京市西城区白云观街白云观内,布局独树一帜，令人遐想,60,69,北京市
1352,北京失恋博物馆（合生汇总店）,北京·北京·朝阳区,0,\N,北京市朝阳区西大望路21号合生汇 B3,北京失恋博物馆里面存放了太多太多人的失恋，有时候再回头看这些自己曾经送到这里的物品时，想必又是另外一番风景了。,69,79,北京市
1353,西御园会议度假中心,北京·北京·昌平区,0,\N,北京市昌平区兴寿镇桃峪口水库西北侧（近静之湖东50米）,现代化综合性场馆,68,44,北京市
1354,超人空间蹦床,北京·北京·顺义区,0,\N,北京市顺义区后沙峪高白路颐顺12号,\N,89,50,北京市
1355,西御园游泳馆,北京·北京·昌平区,0,\N,北京市昌平区兴寿镇桃峪口水库西北侧,"素有北京的""天然氧吧""之称",68,84,北京市
1356,银锭桥,北京·北京·西城区,0,\N,北京市西城区教场胡同2,燕京小八景之一,60,79,北京市
1357,什刹海皮影,北京·北京·西城区,0,\N,北京市西城区松树街24号北京什刹海皮影文化主题酒店（近恭王府）,中国皮影艺术传承人合作表演皮影剧目,89,2,北京市
1358,NBA巡回展——北京站,北京·北京·朝阳区,0,\N,央·美术馆朝阳公园路6号院蓝色港湾商区14号楼三层,为北京乃至整个中国的艺术生态带来新的气象,90,2,北京市
1359,北京丽轩水疗会,北京·北京·顺义区,0,\N,北京市顺义区新顺南大街43号(近顺义地铁站),优雅、安静、舒适、时尚的休闲空间,118,63,北京市
1360,北京天地剧场《天地宝藏》,北京·北京·天地剧场,0,\N,北京市东城区东直门南大街10号（保利大厦北100米）,世界杂技秀场巅峰水平的视听、艺术饕餮盛宴,108,34,北京市
1361,北京静之湖高山滑水乐园,北京·北京·昌平区,0,\N,北京静之湖高山滑水,滑道可达500米,199,67,北京市
1362,十渡天河谷高山滑水,北京·北京·十渡风景区,0,\N,北京市房山区十渡镇西庄村“天河谷”主题乐园内,浪尖上的过山车,135,87,北京市
1363,人民英雄纪念碑,北京·北京·天安门广场,0,\N,北京市天安门广场中央,矗立在天安门广场中央的人民英雄纪念碑,58,77,北京市
1364,权品·权金城沐浴连锁（丰台店）,北京·北京·丰台区,0,\N,丰台区丰管路前泥洼2号楼丰益桥向西1000米,四周环境清新，交通便利，装修豪华,169,30,北京市
1366,BUS TOUR 上海观光游,上海·上海·黄浦区,0,\N,上海市黄埔区九江路588号（近湖北路）,\N,30,40,上海市
1368,东方明珠·奇梦爱丽丝之重回仙境,上海·上海·东方明珠,0,\N,上海市浦东新区陆家嘴世纪大道1号东方明珠,俄罗斯技术团队根据《爱丽丝梦游仙境》开发,98,26,上海市
1369,上海万达汽车乐园,上海·上海·青浦区,0,\N,上海市青浦区淀山湖大道851号万达茂内,演绎不一样的科技大冒险,98,4,上海市
1370,南翔老街,上海·上海·南翔古镇,0,4A景区,上海市嘉定区南翔镇解放街206号,古镇南翔历史、商贸、文化的缩影,18,39,上海市
1371,东林寺,上海·上海·金山区,0,4A景区,上海市金山区朱泾镇东林街150号,新春参拜迎新，东林寺祈福圣地,24.9,40,上海市
1372,安徒生童话乐园,上海·上海·杨浦区,0,\N,上海市杨浦区国泓路200号,把握安徒生主题，深入结合童话特质,65.9,174,上海市
1373,上海超级飞侠环球总动员,上海·上海·浦东新区,0,\N,上海市浦东新区世纪大道100号,上海“超级飞侠”环球总动员亲子展,59,66,上海市
1374,高家庄园,上海·上海·崇明岛,0,3A景区,上海崇明港西镇港东公路999号（高家庄生态园内）,高雅的景区、温馨的家园、美丽的田庄,33,28,上海市
1375,太阳岛国际旅游度假区,上海·上海·青浦区,0.7,4A景区,上海市青浦区朱家角镇沈巷沈太路2588号,工作休闲两不误，商务度假的好去处,15,16,上海市
1376,上海八音盒珍品陈列馆,上海·上海·浦东新区,0,\N,上海市浦东新区丁香路425号上海东方艺术中心内4层,展示欧洲八音盒艺术及其发展历史,65,91,上海市
1377,大梦微城,上海·上海·黄浦区,0,\N,上海市黄浦区河南南路489号香港名都L2层30-40,以火车模型微缩景观为特色的游乐场所,87.4,20,上海市
1378,奈尔宝家庭中心,上海·上海·闵行区,0,\N,上海市闵行区都会路3788弄星河湾商业街5号楼,奈尔宝家庭中心是中国原创高端家庭生活品牌，专为0-14岁儿童提供国际化体验式高端亲子玩乐。,100,16,上海市
1379,动霸CHUA蹦床乐园,上海·上海,0,\N,上海市闵行区北松公路489号2幢,涵盖了攀岩、滑草、智勇大闯关等娱乐项目,118,12,上海市
1380,王者荣耀沉浸式实景-探秘王者世界,上海·上海·杨浦区,0,\N,上海市杨浦区杨树浦路640号（上海杨浦滨江船厂）,此次在上海杨浦滨江船厂内举办的王者荣耀沉浸式实景-探秘王者世界拥有6000平米超大场馆，十组主题场景设计，跟随庄周一起探,128,6,上海市
1396,乐翻了蹦床公园,北京·北京·朝阳区,0,\N,北京市朝阳区孙河乡顺黄路77号乐翻了运动生态园,健康，休闲，亲近大自然”的世外桃源,128,66,北京市
1397,索尼探梦,北京·北京·朝阳区,0,\N,北京市朝阳区朝阳公园南路1号朝阳公园内1号楼,尽情体验独特新颖的科技展品的无穷乐趣,30,6,北京市
1398,沃联福天开花海景区,北京·北京·房山区,0,\N,北京房山区韩村河镇龙门口村龙门口水库西岸尚大沃联福农园,一沟两湖五产业，三线八区十二景,19.9,14,北京市
1399,北京石门山风景区,北京·北京·怀柔区,0,3A景区,北京市怀柔区怀北镇峪道河村自然村1号,以奇、秀、险、幽闻名，是旅游和佛教胜地,28,72,北京市
1400,紫谷伊甸园,北京·北京·丰台区,0,\N,北京市丰台区永定河堤农场路9号,春风在花叶上留恋，蝴蝶在花间起舞,50,110,北京市
1401,北京后花园,北京·北京·昌平区,0.7,\N,北京市昌平区太行山与燕山交汇处(中关村西北侧 ),四季美景扑面而来,29,56,北京市
1402,昌平蟒山苹果,北京·北京·昌平区,0,\N,北京市昌平区南邵镇三合庄村路北,苹果生长的“风水宝地”,16,59,北京市
1403,郁金香摩锐温泉水世界,北京·北京·朝阳区,0.7,\N,北京市朝阳区东苇路金盏郁金香温泉花园度假村,北方夏威夷，豪华游乐场,59,136,北京市
1404,灵山古道森林公园,北京·北京·门头沟区,0,\N,北京市门头沟区洪水口客运站北,达摩古道直上北京之巅,15,62,北京市
1405,雾灵西峰高山滑水,北京·北京·雾灵西峰,0,\N,北京市密云县新城子镇沙滩村雾灵西峰风景区,体验京城首家惊险刺激高山滑水,35,47,北京市
1406,温都水城养生馆,北京·北京·温都水城,0,\N,北京市昌平区北七家镇郑各庄村王府街51号,各种亚热带植物掩映其间仿佛置身热带雨林,128,10,北京市
1407,响水湖,北京·北京·怀柔区,0.7,3A景区,北京市怀柔区响水湖长城旅游风景区,京都养生地,35,12,北京市
1408,Flash蹦床公园,北京·北京·通州区,0,\N,北京市通州区台湖镇星湖园度假村内,场馆内容丰富，项目众多,80,6,北京市
1409,乐卓爱探索空间,北京·北京·朝阳公园,0,\N,北京朝阳区朝阳公园南路3号凤凰国际传媒中心B1层,凤凰卫视打造的自主品牌儿童主题乐园,178,64,北京市
1410,悦汤泉,北京·北京·朝阳区,0,\N,北京市朝阳区管庄京通苑35号楼,综合性城市度假生活会馆,39.9,6,北京市
